FIELD,ID,Z_50,td_z_best,td_z_spec
GN1,37683,0.2774810736218118,0.2195,-1.0
GN2,19221,0.1396305993941193,0.139,0.139
GN2,15610,0.1992416776871956,0.2008,0.2008
GN2,18157,0.1968138893998585,0.2013,0.2013
GN2,21693,0.2819808192873829,0.30604,-1.0
GN3,34456,0.21129,0.211,0.211
GN3,34157,0.2451193635943251,0.29434,-1.0
GN3,33397,0.245052751020829,0.19602,-1.0
GN3,33511,0.2564012777548507,0.2535,0.2535
GN3,34368,0.2284243630292977,0.2312,0.2312
GN3,34077,0.2481206951851821,0.24795,-1.0
GN3,35455,0.2059586465931771,0.2469,0.2469
GN4,24611,0.2623648743074986,0.2662,0.2662
GN5,33249,0.2343339459532293,0.22691,-1.0
GS2,45518,0.2818814162464867,0.28146,-1.0
GS3,37720,0.1057641937295049,0.1031,0.1031
GS3,41882,0.2372331423645062,0.2501,0.2501
GS3,42593,0.2447388634159697,0.25358,-1.0
GS3,35433,0.2563797685002024,0.26934,-1.0
GS4,27438,0.1139344822334479,0.128,0.128
GS4,27549,0.2466535626540622,0.24545,-1.0
GS4,26639,0.2287977853651849,0.227,0.227
GS4,26696,0.2263884209328076,0.227,0.227
GS4,25632,0.2326235439075441,0.23924,-1.0
GS4,26646,0.1998051779170048,0.2122,0.2122
GS4,27535,0.2765414173313187,0.27443,-1.0
GS5,43071,0.1608178570662489,0.15142,-1.0
ERSPRIME,39634,0.193187218594363,0.20925,-1.0
ERSPRIME,44465,0.2433704904256431,0.2492,-1.0
