ID,td_lmass,PAB_SFR_EX2,td_Av
37683,8.61,-0.30106461834700865,0.7
19221,9.05,-0.2799779097636126,1.0
15610,9.43,-0.006275088026330282,0.3
18157,8.96,-0.16474759198722505,0.7
21693,8.75,1.4129491960442182,0.2
34456,10.01,0.23443806551990934,2.3
34157,9.23,0.6783853004866883,0.1
33397,9.34,0.060551173270911515,0.8
33511,8.63,0.4437056549944942,1.2
34368,8.47,0.13572032781105758,0.7
34077,8.33,0.4451046611099408,0.1
35455,7.69,-0.4888296932766441,0.1
24611,8.91,0.03937537410735012,0.2
33249,7.67,0.8101161610355652,0.5
45518,8.68,0.2745379572433663,0.0
49771,7.97,2.507534185872041,0.0
37720,8.63,0.05642980346852139,0.8
41882,8.98,0.2204306805274336,0.3
42593,8.42,0.4559709010604607,0.1
35433,8.45,0.2714023983888133,0.1
39564,6.77,2.609062589445013,0.0
27438,8.75,0.7211161039396988,0.5
27549,7.96,0.413503569630199,0.2
26639,9.02,0.08289395716737757,1.2
26696,7.86,0.14321083984486166,0.0
25632,8.26,0.22139781000110545,0.0
26646,7.48,-0.09927400245751727,0.1
27535,7.94,-0.2621319114201435,0.0
26559,6.61,2.3972166900562155,0.0
43071,8.78,1.3930361936391562,0.2
39634,8.54,0.5971975836509484,0.0
44465,8.35,0.4972103806112725,0.0
