id,sfrratio,sfrratio_calz,calzfactor,sfrratio_mw,mwfactor
37683,-0.30,-0.13, 1.47,-0.14, 1.43
19221,-0.28,-0.04, 1.74,-0.06, 1.67
15610,-0.01, 0.07, 1.18, 0.06, 1.17
18157,-0.16, 0.00, 1.47,-0.01, 1.43
21693, 1.41, 1.46, 1.12, 1.46, 1.11
34456, 0.23, 0.79, 3.57, 0.75, 3.27
34157, 0.68, 0.70, 1.06, 0.70, 1.05
33397, 0.06, 0.25, 1.56, 0.24, 1.51
33511, 0.44, 0.73, 1.94, 0.71, 1.86
34368, 0.14, 0.30, 1.47, 0.29, 1.43
34077, 0.45, 0.47, 1.06, 0.47, 1.05
35455,-0.49,-0.46, 1.06,-0.47, 1.05
24611, 0.04, 0.09, 1.12, 0.08, 1.11
33249, 0.81, 0.93, 1.32, 0.92, 1.29
45518, 0.27, 0.27, 1.00, 0.27, 1.00
49771, 2.51, 2.51, 1.00, 2.51, 1.00
37720, 0.06, 0.25, 1.56, 0.24, 1.51
41882, 0.22, 0.29, 1.18, 0.29, 1.17
42593, 0.46, 0.48, 1.06, 0.48, 1.05
35433, 0.27, 0.30, 1.06, 0.29, 1.05
39564, 2.61, 2.61, 1.00, 2.61, 1.00
27438, 0.72, 0.84, 1.32, 0.83, 1.29
27549, 0.41, 0.46, 1.12, 0.46, 1.11
26639, 0.08, 0.37, 1.94, 0.35, 1.86
26696, 0.14, 0.14, 1.00, 0.14, 1.00
25632, 0.22, 0.22, 1.00, 0.22, 1.00
26646,-0.10,-0.08, 1.06,-0.08, 1.05
27535,-0.26,-0.26, 1.00,-0.26, 1.00
26559, 2.40, 2.40, 1.00, 2.40, 1.00
43071, 1.39, 1.44, 1.12, 1.44, 1.11
39634, 0.60, 0.60, 1.00, 0.60, 1.00
44465, 0.50, 0.50, 1.00, 0.50, 1.00
